order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,revenue,gross_margin,estimated_cost,gross_profit,low_margin_flag,source
O100001,C17603,P228204,Grocery,24.73,0.0,1,Credit Card,2025-04-03,6,South,No,24.73,4.6,-2.62,37,Male,24.73,-2.62,25.377926000000002,-0.6479260000000018,True,csv_kaggle
O100003,C15390,P208689,Electronics,63.67,0.0,1,UPI,2024-09-14,6,South,No,63.67,5.5,2.14,21,Female,63.67,2.14,62.307462,1.3625380000000007,True,csv_kaggle
O100004,C15226,P228063,Home,16.33,0.15,1,COD,2024-12-21,6,East,No,13.88,2.74,1.15,39,Male,13.88,1.15,13.720380000000002,0.15961999999999854,True,csv_kaggle
O100007,C13092,P216691,Beauty,9.98,0.0,1,Credit Card,2023-09-14,4,West,No,9.98,4.51,-0.02,66,Other,9.98,-0.02,9.981996,-0.001996000000000109,True,csv_kaggle
O100008,C15734,P202751,Fashion,6.61,0.05,1,Debit Card,2023-10-23,6,West,No,6.28,3.43,-1.23,37,Female,6.28,-1.23,6.357244,-0.07724399999999942,True,csv_kaggle
O100009,C16265,P207782,Grocery,10.91,0.0,1,Credit Card,2023-10-31,6,South,No,10.91,2.76,-1.89,56,Male,10.91,-1.89,11.116199,-0.2061989999999998,True,csv_kaggle
O100010,C10466,P217648,Beauty,6.61,0.1,1,Debit Card,2024-02-07,5,South,No,5.95,2.16,0.52,40,Female,5.95,0.52,5.91906,0.03094000000000019,True,csv_kaggle
O100011,C15334,P212540,Beauty,16.22,0.0,1,PayPal,2024-07-08,5,South,No,16.22,3.72,3.58,21,Other,16.22,3.58,15.639323999999998,0.5806760000000004,True,csv_kaggle
O100012,C14426,P245991,Grocery,10.56,0.1,1,Credit Card,2024-10-13,4,West,No,9.5,4.99,-4.23,22,Female,9.5,-4.23,9.90185,-0.4018499999999996,True,csv_kaggle
O100013,C15578,P205339,Toys,7.12,0.0,1,Debit Card,2023-11-01,5,North,No,7.12,3.35,-0.5,56,Female,7.12,-0.5,7.1556,-0.03559999999999963,True,csv_kaggle
O100015,C13444,P227609,Home,12.63,0.2,4,Credit Card,2024-05-03,3,North,No,40.42,6.19,5.13,36,Male,40.42,5.13,38.346454,2.0735460000000003,True,csv_kaggle
O100020,C11685,P246233,Toys,17.99,0.0,2,PayPal,2024-05-10,4,West,No,35.98,5.56,8.83,64,Female,35.98,8.83,32.802966,3.177033999999999,True,csv_kaggle
O100021,C17476,P221471,Fashion,39.54,0.0,1,COD,2024-11-14,6,North,No,39.54,5.3,8.54,49,Other,39.54,8.54,36.163284,3.376716000000002,True,csv_kaggle
O100022,C10769,P203302,Electronics,128.8,0.0,1,Debit Card,2024-12-14,4,North,No,128.8,7.77,7.69,41,Female,128.8,7.69,118.89528000000001,9.904719999999998,True,csv_kaggle
O100027,C12433,P223511,Fashion,11.24,0.0,2,Debit Card,2025-08-19,4,West,No,22.48,6.09,1.78,60,Female,22.48,1.78,22.079856,0.40014400000000094,True,csv_kaggle
O100028,C15311,P205022,Grocery,20.97,0.0,2,PayPal,2024-05-27,6,South,No,41.94,4.61,-1.25,61,Female,41.94,-1.25,42.46424999999999,-0.524249999999995,True,csv_kaggle
